URL;Nb produits
http://www.cdiscount.com/electromenager/tous-nos-accessoires/pour-les-aspirateurs/l-1102909.html;13217
http://www.cdiscount.com/musique-cd-dvd/cd-jazz-blues/l-10138.html;13119
http://www.cdiscount.com/telephonie/accessoires-portable-gsm/accessoires-fashion/les-housse-silicone/coques-pour-htc/l-14420131502.html;12997
http://www.cdiscount.com/arts-loisirs/loisirs-creatifs/toute-l-offre-loisirs-creatifs/l-1610213.html;12927
http://www.cdiscount.com/telephonie/accessoires-portable-gsm/accessoires-fashion/les-housse-silicone/coques-pour-sony/l-14420131511.html;12905
http://www.cdiscount.com/arts-loisirs/beaux-arts/toute-l-offre-beaux-arts/l-1610108.html;12638
http://www.cdiscount.com/informatique/materiel-reseau-wifi-internet-bluetooth/reseau-routeur-carte-reseau-switch-hub/l-1071522.html;12636
http://www.cdiscount.com/pret-a-porter/vetements-enfant/nos-grandes-marques-enfant/marques-enfant-garcon/l-113236402.html;12484
http://www.cdiscount.com/livres-bd/actualite-politique-societe-religion/religion/christianisme/l-105990802.html;12414
http://www.cdiscount.com/arts-loisirs/papeterie-fournitures-scolaires/feuilles-cahiers-recueils/dictionnaires/l-161030703.html;12354
http://www.cdiscount.com/livres-bd/livres-policier-suspense/l-10519.html;12273
http://www.cdiscount.com/juniors/jeux-et-jouets-par-type/deguisements-jeux-imitation/perruques-bijoux-accessoires/l-120060408.html;12268
http://www.cdiscount.com/animalerie/chiens/l-16210.html;12216
http://www.cdiscount.com/maison/chauffage/toute-l-offre-chauffage/l-1174607.html;12123
http://www.cdiscount.com/livres-bd/livres-jeunesse-adolescent/6-9-ans/l-1051034.html;12059
http://www.cdiscount.com/electromenager/aspirateur-nettoyeur-vapeur/toute-l-offre-aspirateur/l-1101415.html;11826
http://www.cdiscount.com/maison/bricolage-outillage/electricite/toute-l-offre-electricite/l-117044006.html;11821
http://www.cdiscount.com/auto/accessoires-gps-et-avertisseurs/autres-accessoires-gps/l-1335707.html;11820
http://www.cdiscount.com/maison/tapis/toute-l-offre-tapis/l-1172508.html;11781
http://www.cdiscount.com/au-quotidien/hygiene-soin-beaute/shampoings/accessoires-pour-cheveux/l-127020901.html;11603
http://www.cdiscount.com/maison/bricolage-outillage/gros-outillages/accessoires/l-117041710.html;11526
http://www.cdiscount.com/maison/bricolage-outillage/outillage-electroportatif/accessoires/l-117040111.html;11512
http://www.cdiscount.com/maison/decoration-accessoires/tableaux/toile/l-117634105.html;11423
http://www.cdiscount.com/arts-loisirs/papeterie-fournitures-scolaires/ecriture/l-1610303.html;11407
http://www.cdiscount.com/informatique/accessoires-tablettes-tactiles/choix-par-marque/l-1076902.html;11357
http://www.cdiscount.com/bijouterie/lunettes-de-soleil/toute-l-offre-lunettes-de-soleil/l-1261023.html;11353
http://www.cdiscount.com/informatique/accessoires-tablettes-tactiles/choix-par-tablette/l-1076903.html;11336
http://www.cdiscount.com/pret-a-porter/vetements-enfant/nos-grandes-marques-enfant/marques-enfant-fille/l-113236401.html;11265
http://www.cdiscount.com/maison/art-de-la-table/petit-dejeuner/l-1179041.html;11147
http://www.cdiscount.com/telephonie/accessoires-portable-gsm/accessoires-fashion/les-housse-silicone/coques-pour-blackberry/l-14420131501.html;11124
http://www.cdiscount.com/informatique/clavier-souris-webcam/l-10702.html;11109
http://www.cdiscount.com/pret-a-porter/vetements-enfant/vetements-fille/l-1132301.html;11047
http://www.cdiscount.com/pret-a-porter/vetements-femme/robes/l-1130260.html;11027
http://www.cdiscount.com/informatique/cartouche-encre-toner-consommable-papier/cartouches-toners/l-1070601.html;10943
http://www.cdiscount.com/livres-bd/livres-poches/livre-romans-poche/romans-359/l-105030301.html;10925
http://www.cdiscount.com/juniors/figurines/toute-l-offre-figurines/l-1206740.html;10908
http://www.cdiscount.com/arts-loisirs/papeterie-fournitures-scolaires/classement/l-1610302.html;10890
http://www.cdiscount.com/maison/rangement/l-11799.html;10639
http://www.cdiscount.com/telephonie/accessoires-portable-gsm/accessoires-fashion/les-housse-silicone/coques-pour-lg/l-14420131503.html;10629
http://www.cdiscount.com/livres-bd/livres-litterature/critique-litteraire/critique/l-105020409.html;10442
http://www.cdiscount.com/livres-bd/bd-humour/bandes-dessinees/bd-adulte/l-105041901.html;10385
http://www.cdiscount.com/bagages/femme/petite-maroquinerie-femme/l-1431910.html;10362
http://www.cdiscount.com/telephonie/accessoires-portable-gsm/stylets-gants/l-1442029.html;10249
http://www.cdiscount.com/au-quotidien/articles-fumeur/cigarette-electronique/liquide-et-consommable/l-127120505.html;10183
http://www.cdiscount.com/maison/bricolage-outillage/securite/toute-l-offre-securite/l-117043908.html;10148
http://www.cdiscount.com/informatique/accessoires-tablettes-tactiles/housses-etuis-tablette/dedie-ipad/l-107690801.html;10100
http://www.cdiscount.com/livres-bd/livres-arts-cinema-musique/livre-arts-spectacle/histoire-l-art/l-105111001.html;10087
http://www.cdiscount.com/telephonie/accessoires-portable-gsm/accessoires-fashion/les-housse-silicone/coques-pour-nokia/l-14420131505.html;10049
http://www.cdiscount.com/maison/decoration-accessoires/deco-rideaux-stores/rideaux-a-pattes/l-117630801.html;10014
http://www.cdiscount.com/livres-bd/humour-et-jeux/l-10535.html;10005
